,n_placement,n_step,placed_dev,reward,HPWL,congestion,action,legalized_action
110,27,2,XM3_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1215.0, 3086.0, 180)"
111,27,3,XM4_x3_x1_x1,-4045.0,4045.0,0.0,"(869, 3086, 180)","(869.0, 3086.0, 180)"
112,28,0,XM2_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1907.0, 3086.0, 180)"
113,28,1,XM4_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1511.0, 3086.0, 180)"
114,28,2,XM1_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1165.0, 3086.0, 180)"
115,28,3,XM3_x3_x1_x1,-2761.0,2761.0,0.0,"(869, 3086, 180)","(869.0, 3086.0, 180)"
116,29,0,XM2_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1907.0, 3086.0, 180)"
117,29,1,XM1_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1561.0, 3086.0, 180)"
118,29,2,XM4_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1215.0, 3086.0, 180)"
119,29,3,XM3_x3_x1_x1,-4145.0,4145.0,0.0,"(869, 3086, 180)","(869.0, 3086.0, 180)"
120,30,0,XM3_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1907.0, 3086.0, 180)"
121,30,1,XM2_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1561.0, 3086.0, 180)"
122,30,2,XM1_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1215.0, 3086.0, 180)"
123,30,3,XM4_x3_x1_x1,-4045.0,4045.0,0.0,"(869, 3086, 180)","(869.0, 3086.0, 180)"
124,31,0,XM2_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1907.0, 3086.0, 180)"
125,31,1,XM3_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1561.0, 3086.0, 180)"
126,31,2,XM4_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1215.0, 3086.0, 180)"
127,31,3,XM1_x3_x1_x1,-4145.0,4145.0,0.0,"(869, 3086, 180)","(869.0, 3086.0, 180)"
128,32,0,XM4_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1907.0, 3086.0, 180)"
129,32,1,XM2_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1511.0, 3086.0, 180)"
130,32,2,XM1_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1165.0, 3086.0, 180)"
131,32,3,XM3_x3_x1_x1,-2761.0,2761.0,0.0,"(869, 3086, 180)","(869.0, 3086.0, 180)"
132,33,0,XM4_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1857.0, 3086.0, 180)"
133,33,1,XM1_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1511.0, 3086.0, 180)"
134,33,2,XM3_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1215.0, 3086.0, 180)"
135,33,3,XM2_x3_x1_x1,-3845.0,3845.0,0.0,"(869, 3086, 180)","(869.0, 3086.0, 180)"
136,34,0,XM3_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1907.0, 3086.0, 180)"
137,34,1,XM1_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1611.0, 3086.0, 180)"
138,34,2,XM4_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1265.0, 3086.0, 180)"
139,34,3,XM2_x3_x1_x1,-2661.0,2661.0,0.0,"(869, 3086, 180)","(869.0, 3086.0, 180)"
140,35,0,XM2_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1907.0, 3086.0, 180)"
141,35,1,XM4_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1511.0, 3086.0, 180)"
142,35,2,XM3_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1165.0, 3086.0, 180)"
143,35,3,XM1_x3_x1_x1,-2761.0,2761.0,0.0,"(869, 3086, 180)","(869.0, 3086.0, 180)"
144,36,0,XM4_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1907.0, 3086.0, 180)"
145,36,1,XM3_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1561.0, 3086.0, 180)"
146,36,2,XM2_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1215.0, 3086.0, 180)"
147,36,3,XM1_x3_x1_x1,-4145.0,4145.0,0.0,"(869, 3086, 180)","(869.0, 3086.0, 180)"
148,37,0,XM3_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1907.0, 3086.0, 180)"
