,n_placement,n_step,placed_dev,reward,HPWL,congestion,action,legalized_action
1610,536,2,XDL_XM3_XM4,-7206.017060475098,6905.0,90611.27069706922,"(289, 1528, 0)","(289.0, 1528.0, 0)"
1611,537,0,XM5,0.0,0.0,0.0,"(93, 914, 180)","(93.0, 914.0, 180)"
1612,537,1,XDP_XM1_XM2,0.0,0.0,0.0,"(323, 792, 180)","(323.0, 635.0, 180)"
1613,537,2,XDL_XM3_XM4,-4452.693240484974,4160.0,85669.33302559481,"(387, 1459, 90)","(387.0, 1459.0, 90)"
1614,538,0,XM5,0.0,0.0,0.0,"(169, 1279, 90)","(169.0, 1279.0, 90)"
1615,538,1,XDL_XM3_XM4,0.0,0.0,0.0,"(948, 531, 90)","(948.0, 531.0, 90)"
1616,538,2,XDP_XM1_XM2,-8854.803484857612,8393.0,213262.45862663383,"(1428, 36, 270)","(1428.0, 36.0, 270)"
1617,539,0,XM5,0.0,0.0,0.0,"(789, 53, 90)","(789.0, 53.0, 90)"
1618,539,1,XDP_XM1_XM2,0.0,0.0,0.0,"(209, 584, 180)","(209.0, 584.0, 180)"
1619,539,2,XDL_XM3_XM4,-5474.2278187543125,5219.0,65141.239466084335,"(646, 1263, 90)","(646.0, 1263.0, 90)"
1620,540,0,XDP_XM1_XM2,0.0,0.0,0.0,"(602, 1197, 180)","(602.0, 1197.0, 180)"
1621,540,1,XDL_XM3_XM4,0.0,0.0,0.0,"(173, 1482, 0)","(173.0, 1482.0, 0)"
1622,540,2,XM5,-4975.463608642305,4759.0,46856.49386644888,"(515, 308, 0)","(515.0, 308.0, 0)"
1623,541,0,XM5,0.0,0.0,0.0,"(1203, 1510, 90)","(1203.0, 1510.0, 90)"
1624,541,1,XDL_XM3_XM4,0.0,0.0,0.0,"(427, 1176, 0)","(427.0, 1176.0, 0)"
1625,541,2,XDP_XM1_XM2,-5701.618630892767,5434.0,71619.7316009193,"(476, 699, 270)","(476.0, 595.0, 270)"
1626,542,0,XM5,0.0,0.0,0.0,"(1108, 286, 90)","(1177.0, 286.0, 90)"
1627,542,1,XDL_XM3_XM4,0.0,0.0,0.0,"(476, 1433, 90)","(476.0, 1433.0, 90)"
1628,542,2,XDP_XM1_XM2,-4370.980020841714,4175.0,38408.168569118505,"(898, 533, 270)","(898.0, 533.0, 270)"
1629,543,0,XDP_XM1_XM2,0.0,0.0,0.0,"(933, 602, 90)","(933.0, 602.0, 90)"
1630,543,1,XM5,0.0,0.0,0.0,"(661, 1312, 90)","(661.0, 1312.0, 90)"
1631,543,2,XDL_XM3_XM4,-4568.407823241834,4389.0,32187.16704037307,"(1359, 84, 0)","(1359.0, 84.0, 0)"
1632,544,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1007, 1061, 90)","(1007.0, 1061.0, 90)"
1633,544,1,XDL_XM3_XM4,0.0,0.0,0.0,"(969, 1498, 90)","(969.0, 1498.0, 90)"
1634,544,2,XM5,-5441.764628698106,5229.0,45268.787225042885,"(268, 154, 180)","(268.0, 154.0, 180)"
1635,545,0,XDL_XM3_XM4,0.0,0.0,0.0,"(1139, 658, 90)","(1139.0, 658.0, 90)"
1636,545,1,XDP_XM1_XM2,0.0,0.0,0.0,"(536, 339, 90)","(536.0, 339.0, 90)"
1637,545,2,XM5,-5513.893533282153,5271.0,58997.2685102884,"(203, 1321, 90)","(203.0, 1321.0, 90)"
1638,546,0,XDL_XM3_XM4,0.0,0.0,0.0,"(944, 211, 90)","(944.0, 211.0, 90)"
1639,546,1,XM5,0.0,0.0,0.0,"(1285, 13, 90)","(1373.0, -135.0, 90)"
1640,546,2,XDP_XM1_XM2,-3086.082273262056,2918.0,28251.650584940366,"(1094, 188, 90)","(1094.0, -149.5, 90)"
1641,547,0,XDL_XM3_XM4,0.0,0.0,0.0,"(578, 569, 90)","(578.0, 387.5, 90)"
1642,547,1,XDP_XM1_XM2,0.0,0.0,0.0,"(435, 748, 90)","(435.0, 748.0, 90)"
1643,547,2,XM5,-4925.828405854739,4728.0,39136.078163027094,"(1303, 1457, 0)","(1303.0, 1457.0, 0)"
1644,548,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1236, 1353, 0)","(1236.0, 1353.0, 0)"
1645,548,1,XM5,0.0,0.0,0.0,"(1386, 1435, 90)","(1588.0, 1435.0, 90)"
1646,548,2,XDL_XM3_XM4,-4167.030316752267,3932.0,55239.249792670955,"(388, 1419, 90)","(388.0, 1419.0, 90)"
1647,549,0,XDL_XM3_XM4,0.0,0.0,0.0,"(1107, 928, 90)","(1107.0, 928.0, 90)"
1648,549,1,XDP_XM1_XM2,0.0,0.0,0.0,"(774, 621, 180)","(774.0, 621.0, 180)"
1649,549,2,XM5,-3888.265463085291,3617.0,73584.95146287724,"(828, 1062, 180)","(828.0, 1215.5, 180)"
1650,550,0,XDL_XM3_XM4,0.0,0.0,0.0,"(107, 479, 90)","(107.0, 471.5, 90)"
1651,550,1,XM5,0.0,0.0,0.0,"(1264, 1034, 90)","(1264.0, 1034.0, 90)"
1652,550,2,XDP_XM1_XM2,-4554.376754958689,4355.0,39751.09041785725,"(138, 759, 0)","(138.0, 759.0, 0)"
1653,551,0,XM5,0.0,0.0,0.0,"(387, 234, 180)","(387.0, 234.0, 180)"
1654,551,1,XDP_XM1_XM2,0.0,0.0,0.0,"(262, 1224, 180)","(262.0, 1224.0, 180)"
1655,551,2,XDL_XM3_XM4,-5391.351103850851,5069.0,103910.23415386217,"(652, 745, 180)","(652.0, 745.0, 180)"
1656,552,0,XM5,0.0,0.0,0.0,"(682, 547, 180)","(682.0, 547.0, 180)"
1657,552,1,XDP_XM1_XM2,0.0,0.0,0.0,"(1205, 1320, 90)","(1205.0, 1320.0, 90)"
1658,552,2,XDL_XM3_XM4,-7225.85281368037,6798.0,183058.03017420904,"(520, 411, 270)","(520.0, 259.5, 270)"
1659,553,0,XM5,0.0,0.0,0.0,"(1491, 512, 0)","(1491.0, 512.0, 0)"
1660,553,1,XDL_XM3_XM4,0.0,0.0,0.0,"(957, 1240, 0)","(957.0, 1240.0, 0)"
1661,553,2,XDP_XM1_XM2,-4489.139695816343,4306.0,33540.14818370275,"(1402, 1443, 0)","(1402.0, 1443.0, 0)"
1662,554,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1361, 1422, 90)","(1361.0, 1422.0, 90)"
1663,554,1,XDL_XM3_XM4,0.0,0.0,0.0,"(1381, 107, 90)","(1381.0, 107.0, 90)"
1664,554,2,XM5,-4277.547165409179,4211.0,4428.525223996561,"(1124, 1520, 180)","(1023.5, 1520.0, 180)"
1665,555,0,XDL_XM3_XM4,0.0,0.0,0.0,"(314, 1475, 270)","(314.0, 1475.0, 270)"
1666,555,1,XDP_XM1_XM2,0.0,0.0,0.0,"(1166, 535, 270)","(1327.0, 535.0, 270)"
1667,555,2,XM5,-5764.137119252359,5532.0,53887.64213478397,"(1048, 457, 90)","(1048.0, 457.0, 90)"
1668,556,0,XM5,0.0,0.0,0.0,"(305, 29, 0)","(305.0, 29.0, 0)"
1669,556,1,XDP_XM1_XM2,0.0,0.0,0.0,"(724, 829, 90)","(724.0, 829.0, 90)"
1670,556,2,XDL_XM3_XM4,-5210.705554336559,4981.0,52764.64169306564,"(972, 352, 270)","(972.0, 352.0, 270)"
1671,557,0,XDL_XM3_XM4,0.0,0.0,0.0,"(1247, 1466, 270)","(1247.0, 1466.0, 270)"
1672,557,1,XM5,0.0,0.0,0.0,"(1083, 668, 180)","(1083.0, 668.0, 180)"
1673,557,2,XDP_XM1_XM2,-7512.520061173376,7099.0,170998.84099283253,"(654, 24, 90)","(654.0, 24.0, 90)"
1674,558,0,XM5,0.0,0.0,0.0,"(182, 1508, 90)","(182.0, 1508.0, 90)"
1675,558,1,XDL_XM3_XM4,0.0,0.0,0.0,"(350, 618, 270)","(350.0, 618.0, 270)"
1676,558,2,XDP_XM1_XM2,-7699.204336045659,7352.0,120550.85096890686,"(1356, 1540, 90)","(1356.0, 1540.0, 90)"
1677,559,0,XDL_XM3_XM4,0.0,0.0,0.0,"(1108, 616, 0)","(1055.0, 616.0, 0)"
1678,559,1,XDP_XM1_XM2,0.0,0.0,0.0,"(1375, 85, 270)","(1375.0, -109.0, 270)"
1679,559,2,XM5,-4471.55140497629,4228.0,59317.28686592459,"(1401, 243, 180)","(1401.0, 243.0, 180)"
1680,560,0,XDP_XM1_XM2,0.0,0.0,0.0,"(484, 1130, 0)","(484.0, 1130.0, 0)"
1681,560,1,XM5,0.0,0.0,0.0,"(169, 150, 90)","(169.0, 150.0, 90)"
1682,560,2,XDL_XM3_XM4,-5179.169278664517,4976.0,41277.75579306023,"(45, 1543, 90)","(45.0, 1543.0, 90)"
1683,561,0,XDL_XM3_XM4,0.0,0.0,0.0,"(330, 9, 90)","(330.0, 9.0, 90)"
1684,561,1,XM5,0.0,0.0,0.0,"(437, 929, 90)","(437.0, 929.0, 90)"
1685,561,2,XDP_XM1_XM2,-4278.874564855926,4106.0,29885.615174125935,"(46, 542, 0)","(46.0, 542.0, 0)"
1686,562,0,XM5,0.0,0.0,0.0,"(156, 46, 90)","(156.0, 46.0, 90)"
1687,562,1,XDL_XM3_XM4,0.0,0.0,0.0,"(1001, 495, 0)","(1001.0, 495.0, 0)"
1688,562,2,XDP_XM1_XM2,-7482.5637814920765,7246.0,55962.42271383107,"(304, 1480, 90)","(304.0, 1480.0, 90)"
1689,563,0,XDL_XM3_XM4,0.0,0.0,0.0,"(104, 1404, 180)","(104.0, 1667.0, 180)"
1690,563,1,XDP_XM1_XM2,0.0,0.0,0.0,"(38, 1159, 180)","(38.0, 1159.0, 180)"
1691,563,2,XM5,-7086.25253396416,6814.0,74121.44224990571,"(1295, 23, 180)","(1295.0, 23.0, 180)"
1692,564,0,XM5,0.0,0.0,0.0,"(930, 87, 90)","(930.0, -49.0, 90)"
1693,564,1,XDL_XM3_XM4,0.0,0.0,0.0,"(626, 297, 270)","(626.0, 297.0, 270)"
1694,564,2,XDP_XM1_XM2,-6310.894718550245,6021.0,84038.94784332538,"(591, 1236, 180)","(591.0, 1236.0, 180)"
1695,565,0,XDL_XM3_XM4,0.0,0.0,0.0,"(1096, 534, 180)","(1096.0, 534.0, 180)"
1696,565,1,XM5,0.0,0.0,0.0,"(625, 304, 90)","(625.0, 304.0, 90)"
1697,565,2,XDP_XM1_XM2,-4279.3441867891515,4059.0,48551.56065177246,"(468, 209, 90)","(346.0, 209.0, 90)"
1698,566,0,XM5,0.0,0.0,0.0,"(131, 1256, 180)","(131.0, 1256.0, 180)"
