,n_placement,n_step,placed_dev,reward,HPWL,congestion,action,legalized_action
1022,340,2,XM5,-4295.809227486669,4049.0,60914.79477256636,"(886, 988, 270)","(886.0, 988.0, 270)"
1023,341,0,XDL_XM3_XM4,0.0,0.0,0.0,"(439, 1251, 90)","(439.0, 1251.0, 90)"
1024,341,1,XM5,0.0,0.0,0.0,"(828, 14, 0)","(828.0, 14.0, 0)"
1025,341,2,XDP_XM1_XM2,-6963.512359134133,6675.0,83239.3813731427,"(1398, 709, 270)","(1398.0, 709.0, 270)"
1026,342,0,XDL_XM3_XM4,0.0,0.0,0.0,"(157, 287, 0)","(157.0, 287.0, 0)"
1027,342,1,XDP_XM1_XM2,0.0,0.0,0.0,"(1228, 1406, 0)","(1228.0, 1406.0, 0)"
1028,342,2,XM5,-7977.918117395802,7609.0,136100.5773428632,"(1049, 293, 270)","(1049.0, 293.0, 270)"
1029,343,0,XDL_XM3_XM4,0.0,0.0,0.0,"(401, 1150, 90)","(401.0, 1150.0, 90)"
1030,343,1,XDP_XM1_XM2,0.0,0.0,0.0,"(62, 806, 0)","(62.0, 806.0, 0)"
1031,343,2,XM5,-4649.828597519259,4390.0,67510.90008882547,"(798, 943, 180)","(798.0, 862.5, 180)"
1032,344,0,XDL_XM3_XM4,0.0,0.0,0.0,"(1478, 295, 180)","(1478.0, 270.0, 180)"
1033,344,1,XM5,0.0,0.0,0.0,"(1402, 778, 180)","(1402.0, 778.0, 180)"
1034,344,2,XDP_XM1_XM2,-6507.321529543422,6114.0,154701.82560237678,"(747, 1152, 0)","(747.0, 1152.0, 0)"
1035,345,0,XM5,0.0,0.0,0.0,"(1415, 1541, 180)","(1415.0, 1541.0, 180)"
1036,345,1,XDL_XM3_XM4,0.0,0.0,0.0,"(878, 44, 270)","(878.0, 44.0, 270)"
1037,345,2,XDP_XM1_XM2,-8849.803252868538,8501.0,121663.7092116728,"(28, 1454, 270)","(28.0, 1454.0, 270)"
1038,346,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1192, 575, 0)","(1192.0, 575.0, 0)"
1039,346,1,XM5,0.0,0.0,0.0,"(663, 109, 180)","(663.0, -0.5, 180)"
1040,346,2,XDL_XM3_XM4,-4366.668803343705,4100.0,71112.25067676364,"(614, 287, 90)","(614.0, 287.0, 90)"
1041,347,0,XDL_XM3_XM4,0.0,0.0,0.0,"(421, 1227, 270)","(421.0, 1227.0, 270)"
1042,347,1,XM5,0.0,0.0,0.0,"(380, 1324, 0)","(380.0, 1514.5, 0)"
1043,347,2,XDP_XM1_XM2,-3740.2262967814363,3495.0,60135.936633137106,"(487, 1099, 270)","(487.0, 866.5, 270)"
1044,348,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1265, 1022, 270)","(1265.0, 1022.0, 270)"
1045,348,1,XDL_XM3_XM4,0.0,0.0,0.0,"(1168, 99, 180)","(1168.0, 99.0, 180)"
1046,348,2,XM5,-4751.0026283393845,4552.0,39602.04608598307,"(1530, 198, 180)","(1530.0, 198.0, 180)"
1047,349,0,XDP_XM1_XM2,0.0,0.0,0.0,"(58, 1218, 270)","(58.0, 1218.0, 270)"
1048,349,1,XDL_XM3_XM4,0.0,0.0,0.0,"(1490, 467, 180)","(1490.0, 467.0, 180)"
1049,349,2,XM5,-8064.650706862703,7666.0,158922.38608213334,"(346, 123, 180)","(346.0, 123.0, 180)"
1050,350,0,XDL_XM3_XM4,0.0,0.0,0.0,"(87, 28, 180)","(87.0, 28.0, 180)"
1051,350,1,XM5,0.0,0.0,0.0,"(1272, 1137, 180)","(1272.0, 1137.0, 180)"
1052,350,2,XDP_XM1_XM2,-6954.008252967765,6696.0,66568.25859947813,"(1533, 540, 270)","(1533.0, 540.0, 270)"
1053,351,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1301, 1432, 90)","(1301.0, 1432.0, 90)"
1054,351,1,XM5,0.0,0.0,0.0,"(938, 977, 180)","(938.0, 977.0, 180)"
1055,351,2,XDL_XM3_XM4,-5015.0719091623305,4725.0,84141.71248507936,"(947, 563, 180)","(947.0, 469.0, 180)"
1056,352,0,XDL_XM3_XM4,0.0,0.0,0.0,"(1371, 1335, 0)","(1371.0, 1335.0, 0)"
1057,352,1,XM5,0.0,0.0,0.0,"(1022, 1297, 0)","(1022.0, 1168.0, 0)"
1058,352,2,XDP_XM1_XM2,-2664.5348078128122,2515.0,22360.658747614627,"(1357, 1447, 0)","(1010.5, 1447.0, 0)"
1059,353,0,XM5,0.0,0.0,0.0,"(107, 341, 180)","(107.0, 341.0, 180)"
1060,353,1,XDP_XM1_XM2,0.0,0.0,0.0,"(1526, 645, 0)","(1526.0, 645.0, 0)"
1061,353,2,XDL_XM3_XM4,-6484.099410204418,6221.0,69221.29964991244,"(770, 1037, 0)","(770.0, 1037.0, 0)"
1062,354,0,XDL_XM3_XM4,0.0,0.0,0.0,"(984, 1237, 90)","(984.0, 1237.0, 90)"
1063,354,1,XDP_XM1_XM2,0.0,0.0,0.0,"(806, 1012, 180)","(806.0, 949.5, 180)"
